Unnamed: 0,Cash & Cash Equivalents,Total Assets,Total Liabilities,Shareholders' Equity,Total Long-Term Liabilities,Total Current Liabilities,Long-Term Debt,Current Debt,Accion
2012-03-31,3760.0,61622.0,22875.0,38747.0,14777.0,8098.0,5873.0,0.0,OXY
2011-12-31,3781.0,60044.0,22424.0,37620.0,14477.0,7947.0,5871.0,0.0,OXY
2011-09-30,4039.0,57244.0,20765.0,36479.0,13761.0,7004.0,5870.0,0.0,OXY
2011-06-30,1994.0,54595.0,19435.0,35160.0,11342.0,8093.0,3749.0,500.0,OXY
2011-03-31,2100.0,54065.0,20407.0,33658.0,11016.0,9391.0,3748.0,1000.0,OXY
2010-12-31,2578.0,52432.0,19948.0,32484.0,12123.0,7825.0,5111.0,0.0,OXY
2010-09-30,2109.0,47503.0,15659.0,31708.0,9361.0,6298.0,2512.0,0.0,OXY
2010-06-30,2322.0,46259.0,15347.0,30798.0,9285.0,6062.0,2511.0,12.0,OXY
2010-03-31,1895.0,45531.0,15494.0,29935.0,9054.0,6440.0,2511.0,83.0,OXY
2009-12-31,1224.0,44229.0,15070.0,29081.0,8579.0,6491.0,2557.0,239.0,OXY
2009-09-30,1230.0,44229.0,15070.0,29081.0,8978.0,6092.0,2557.0,239.0,OXY
2009-06-30,1755.0,41835.0,13948.0,27826.0,8537.0,5411.0,2567.0,918.0,OXY
2009-03-31,1126.0,40620.0,13151.0,27435.0,7786.0,5365.0,1822.0,918.0,OXY
2008-12-31,1777.0,41537.0,14212.0,27300.0,8078.0,6134.0,2049.0,698.0,OXY
2008-09-30,1452.0,42589.0,15652.0,26937.0,7588.0,8064.0,1057.0,714.0,OXY
2008-06-30,1506.0,41444.0,16301.0,25143.0,8057.0,8244.0,1775.0,0.0,OXY
2008-03-31,1495.0,38486.0,14543.0,23943.0,7512.0,7031.0,1775.0,30.0,OXY
2007-12-31,1964.0,36519.0,13696.0,22823.0,7430.0,6266.0,1741.0,47.0,OXY
2007-09-30,1455.0,34022.0,12121.0,21901.0,7158.0,4963.0,1748.0,156.0,OXY
2007-06-30,1505.0,33672.0,12561.0,21111.0,7412.0,5149.0,1717.0,163.0,OXY
2007-03-31,1505.0,32883.0,12666.0,20217.0,7411.0,5255.0,1691.0,449.0,OXY
2006-12-31,1579.0,32431.0,13179.0,19252.0,8484.0,4695.0,2619.0,171.0,OXY
2006-09-30,1439.0,31701.0,12843.0,18858.0,8349.0,4494.0,2847.0,46.0,OXY
2006-06-30,1583.0,31163.0,13201.0,17962.0,8375.0,4826.0,2816.0,71.0,OXY
2006-03-31,2031.0,32200.0,14253.0,17947.0,8598.0,5655.0,3273.0,255.0,OXY
2005-12-31,2440.0,26108.0,11076.0,15032.0,6804.0,4272.0,2873.0,46.0,OXY
2005-09-30,1716.0,25097.0,11188.0,13909.0,6619.0,4569.0,2896.0,21.0,OXY
2005-06-30,870.0,23960.0,11254.0,12706.0,7437.0,3817.0,3027.0,333.0,OXY
2005-03-31,1362.0,22277.0,11036.0,11241.0,7696.0,3340.0,3365.0,0.0,OXY
2004-12-31,1449.0,21391.0,10841.0,10550.0,7418.0,3423.0,3345.0,459.0,OXY
2004-09-30,998.0,20376.0,10598.0,9778.0,7732.0,2866.0,3809.0,23.0,OXY
2004-06-30,383.0,19345.0,10339.0,9006.0,7615.0,2724.0,3788.0,182.0,OXY
2004-03-31,470.0,18666.0,10202.0,8464.0,7685.0,2517.0,4018.0,23.0,OXY
2003-12-31,683.0,18168.0,10239.0,7929.0,7713.0,2526.0,3993.0,476.0,OXY
2003-09-30,529.0,17706.0,10211.0,7495.0,8250.0,1961.0,4505.0,28.0,OXY
2003-06-30,115.0,17179.0,10125.0,7054.0,8174.0,1951.0,4519.0,28.0,OXY
2003-03-31,146.0,16937.0,10265.0,6672.0,8127.0,2138.0,4452.0,24.0,OXY
2002-12-31,146.0,16548.0,10230.0,6318.0,7995.0,2235.0,4452.0,206.0,OXY
2002-09-30,298.0,16339.0,10318.0,6021.0,8018.0,2300.0,4597.0,0.0,OXY
2002-06-30,430.0,16481.0,10649.0,5832.0,8392.0,2257.0,4549.0,0.0,OXY
2002-03-31,95.0,17714.0,12135.0,5579.0,10298.0,1837.0,4512.0,0.0,OXY
2001-12-31,198.0,17850.0,12216.0,5634.0,10322.0,1894.0,4528.0,54.0,OXY
2001-09-30,569.0,18763.0,12900.0,5863.0,10382.0,2518.0,4422.0,254.0,OXY
2001-06-30,163.0,19486.0,13891.0,5595.0,11550.0,2341.0,5262.0,243.0,OXY
2001-03-30,299.0,19883.0,14741.0,5142.0,11948.0,2793.0,5457.0,260.0,OXY
2000-12-31,97.0,19414.0,14640.0,4774.0,11900.0,2740.0,5658.0,260.0,OXY
2000-09-30,268.0,19774.0,15252.0,4522.0,12596.0,2656.0,6367.0,223.0,OXY
2000-06-30,97.0,19556.0,15354.0,4202.0,13077.0,2277.0,7137.0,89.0,OXY
2000-03-31,128.0,14343.0,10621.0,3722.0,8775.0,1846.0,4992.0,54.0,OXY
1999-12-31,214.0,14125.0,10602.0,3523.0,8635.0,1967.0,4854.0,34.0,OXY
1999-09-30,151.0,14135.0,10919.0,3216.0,9342.0,1577.0,5653.0,32.0,OXY
1999-06-30,267.0,14291.0,11183.0,3108.0,9522.0,1661.0,5837.0,30.0,OXY
1999-03-31,571.0,13988.0,10788.0,3200.0,9471.0,1317.0,5979.0,30.0,OXY
1998-12-31,96.0,15252.0,11889.0,3363.0,8958.0,2931.0,5367.0,1430.0,OXY
1998-09-30,118.0,15344.0,11858.0,3486.0,8989.0,2869.0,5830.0,1430.0,OXY
1998-06-30,134.0,15538.0,11804.0,3734.0,8855.0,2949.0,5608.0,1432.0,OXY
1998-03-31,255.0,16628.0,12577.0,4051.0,9416.0,3161.0,5931.0,1428.0,OXY
1997-12-31,113.0,15291.0,11005.0,4286.0,9126.0,1879.0,4925.0,41.0,OXY
1997-09-30,170.0,17570.0,12213.0,5357.0,10067.0,2146.0,4785.0,26.0,OXY
1997-06-30,331.0,17676.0,12390.0,5286.0,10096.0,2294.0,4743.0,82.0,OXY
